SourceSiteUrl,TargetSiteUrl,LibraryName,ItemType,FileName,FileExtension,SourceItemId,TargetItemId,SourceSizeBytes,TargetSizeBytes,SizeDifferencePercent,SourceVersionCount,TargetVersionCount,SourceAbsolutePath,TargetAbsolutePath,SourceCreated,SourceModified,TargetCreated,TargetModified,Status,Note
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,General,,1,1,0,0,0.0%,12,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/General,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/General,03/16/2020 14:25:24,06/19/2025 14:12:50,01/08/2026 22:38:23,01/08/2026 22:38:23,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,ECRI Alerts,,2,16,0,0,0.0%,1,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/ECRI Alerts,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/ECRI Alerts,03/16/2020 15:02:33,03/16/2020 15:02:33,06/26/2025 13:42:58,06/26/2025 13:42:51,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,2020,,3,132,0,0,0.0%,1,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/ECRI Alerts/2020,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/ECRI Alerts/2020,03/16/2020 15:05:28,03/16/2020 15:05:28,06/26/2025 13:42:58,06/26/2025 13:42:51,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Weekly Alerts,,13,229,0,0,0.0%,1,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/ECRI Alerts/2020/Weekly Alerts,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/ECRI Alerts/2020/Weekly Alerts,03/16/2020 15:26:30,03/16/2020 15:26:30,06/26/2025 13:42:58,06/26/2025 13:42:51,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Philips - MRx Defibrillator Drop Mechanical Shock User Advisory,,14,224,0,0,0.0%,1,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/ECRI Alerts/2020/Philips - MRx Defibrillator Drop Mechanical Shock User Advisory,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/ECRI Alerts/2020/Philips - MRx Defibrillator Drop Mechanical Shock User Advisory,03/16/2020 15:26:44,03/16/2020 15:26:44,06/26/2025 13:42:58,06/26/2025 13:42:51,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Patient Care,,17,131,0,0,0.0%,4,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/Patient Care,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/Patient Care,03/17/2020 11:08:49,11/04/2021 08:22:44,06/26/2025 13:42:56,06/26/2025 13:55:34,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Critical Care,,18,13,0,0,0.0%,2,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/Critical Care,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/Critical Care,03/17/2020 12:43:44,05/15/2024 09:10:39,06/23/2025 09:03:11,06/23/2025 09:03:11,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Diagnostic Imgaging,,19,620,0,0,0.0%,4,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/Diagnostic Imgaging,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/Diagnostic Imgaging,03/17/2020 12:44:21,04/06/2022 08:57:37,03/17/2020 12:44:21,04/06/2022 08:57:37,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Team Meeting (weekly),,34,134,0,0,0.0%,4,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/Team Meeting (weekly),https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/Team Meeting (weekly),05/14/2020 09:48:44,12/07/2021 14:01:12,06/23/2025 09:31:09,06/23/2025 09:31:10,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Department Meeting (Monthly),,35,22,0,0,0.0%,4,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/Department Meeting (Monthly),https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/Department Meeting (Monthly),05/14/2020 10:18:22,10/13/2021 11:49:43,06/26/2025 13:16:12,06/26/2025 13:16:12,Found,
https://ottawaheart.sharepoint.com/sites/UOHI-BME,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering,Documents,Folder,Ultrasound,,36,133,0,0,0.0%,1,1,https://ottawaheart.sharepoint.com/sites/UOHI-BME/Shared Documents/Ultrasound,https://theottawahospital.sharepoint.com/sites/UOHI-BiomedicalEngineering/Shared Documents/Ultrasound,05/21/2020 11:12:36,05/21/2020 11:12:36,06/26/2025 13:43:01,06/26/2025 13:08:30,Found,
